course_code,course_title,credit_unit,year,semester,category
MAT101,GENERAL MATHEMATICS,3,1,1,faculty
PHY101,GENERAL PHYSICS,3,1,1,faculty
ICH111,INORGANIC CHEMISTRY,2,1,1,faculty
ICH101,ORGANIC CHEMISTRY,2,1,1,faculty
FEG101,ENGINEERING MATHEMATICS,3,1,1,faculty
PHY107,PRACTICAL PHYSICS,1,1,1,faculty
BUS101,INTRODUCTION TO BUSINESS,2,1,1,faculty
GST101,ENGLISH,1,1,1,GS
GST109,IGBO,1,1,1,GS
GST107,NIGERIA PEOPLE AND CULTURE,2,1,1,GS
GST105,HUMANITY,2,1,1,GS
MAT102,GENERAL MATHEMATICS 2,3,1,2,faculty
PHY102,GENERAL PHYSICS 2,3,1,2,faculty
ICH102,PHYSICAL CHEMISTRY,2,1,2,faculty
ICH112,PRACTICAL CHEMISTRY,2,1,2,faculty
PHY108,PRACTICAL PHYSICS,1,1,2,faculty
FEG102,ENGINEERING MATHEMATICS 2,3,1,2,faculty
FEG103,CIRCUIT THEORY 1,2,1,2,faculty
GST102,ENGLISH,1,1,2,GS
GST110,IGBO,1,1,2,GS
GST106,SOCIAL SCIENCE,2,1,2,GS
MAT202,ELEMENTARY MATHEMATICS,3,2,1,faculty
FEG202,BASIC ELECTRICITY 2,3,2,1,faculty
FEG212,APPLIED MECHANICS 2,2,2,1,faculty
FEG242,THERMODYNAMICS,2,2,1,faculty
FEG282,WORKSHOP PRACTICE 2,2,2,1,faculty
FEG215,STRENGTH OF MATERIAL,3,2,1,faculty
FEG214,ENGINEERING DRAWING 2,2,2,1,faculty
BUS204,PRINCIPLES OF MANAGEMENT,2,2,1,faculty
FEG280,ENGINEERS IN SOCIETY,2,2,1,faculty
CSC202,COMPUTER PROGRAMMING 2,2,2,1,faculty
FEG201,BASIC ELECTRICITY 1,3,2,2,faculty
FEG211,APPLIED MECHANICS,2,2,2,faculty
FEG250,PRINCIPLES OF MATERIAL,3,2,2,faculty
FEG221,FLUID MECHANICS,2,2,2,faculty
FEG213,ENGINEERING DRAWING,2,2,2,faculty
ICH221,APPLIED CHEMISTRY,2,2,2,faculty
CSC201,COMPUTER PROGRAMMING 1,2,2,2,faculty
MAT201,LINEAR ALGEBRA,3,2,2,faculty
FEG281,WORKSHOP PRACTICE,2,2,2,faculty
CDS200,CARRIER DEVELOPMENT SKILL,0,2,2,faculty
N/A,CARRIER DEVELOPMENT SKILL,0,2,2,faculty
GST301,ENTREPRENEURSHIP,1,3,1,GS
ECE333,DIGITAL SYSTEM 1,2,3,1,faculty
ECE331,SIGNALS AND SYSTEMS,2,3,1,faculty
ECE323,ELECTRONIC DEVICES AND CIRCUITS,3,3,1,faculty
ECE321,PRINCIPLES OF TELECOMMUNICATIONS 1,2,3,1,faculty
ELE353,POWER SYSTEM,3,3,1,faculty
ELE343,ELECTROMECHANICAL DEVICE AND MACHINE,2,3,1,faculty
ELE341,ELECTROMAGNETIC FIELD AND WAVE,2,3,1,faculty
ELE311,CIRCUIT THEORY 1,2,3,1,faculty
FEG303,ENGINEERING MATHEMATICS 3,3,3,1,faculty
ELE312,CIRCUIT THEORY 3,2,3,2,faculty
ELE372,INSTRUMENTATION AND MEASUREMENT,2,3,2,faculty
ELE382,FEEDBACK AND CONTROL SYSTEM,3,3,2,faculty
ELE344,ELECTROMECHANICAL DEVICE AND MACHINE,2,3,2,faculty
ELE342,ELECTRODYNAMICS,2,3,2,faculty
ECE328,ELECTRONICS DEVICE AND CIRCUIT 2,3,3,2,faculty
ECE334,DIGITAL SYSTEM DESIGN 2,2,3,2,faculty
ECE322,PRINCIPLES OF TELECOMMUNICATIONS 2,2,3,2,faculty
ECE326,PHYSICAL ELECTRONICS,3,3,2,faculty
ECE427,ADVANCED CIRCUIT TECHNIQUE,3,4,1,faculty
ECE431,FUNDAMENTAL OF DIGITAL COMMUNICATION,3,4,1,faculty
ELE403,CIRCUIT THEORY IV,3,4,1,faculty
ELE473,INSTRUMENTATION AND MEASUREMENTS,3,4,1,faculty
ECE421,ASSEMBLY LANGUAGE PROGRAMMING,2,4,1,faculty
ECE405,MICROPROCESSORS AND MICROCOMPUTERS,3,4,1,faculty
CVE421,ENGINEERING CONTRACT AND SPECIFICATION,2,4,1,faculty
FEG404,ENGINEERING MATHEMATICS IV,3,4,1,faculty
FEG400,INDUSTRIAL TRAINING,6,4,2,faculty
ECE505,COMPUTER AIDED DESIGN,3,5,1,faculty
ECE537,DIGITAL SIGNAL PROCESSING,3,5,1,faculty
ECE517,REAL TIME COMPUTERING AND CONTROL,3,5,1,faculty
ECE527,SOLID STATE ELECTRONICS,3,5,1,faculty
ECE539,COMPUTER ARCH AND ORG,3,5,1,faculty
ECE541,AI AND ROBOTICS,3,5,1,faculty
N/A,SEMINAR,2,5,1,faculty

